dataset,queries,method,depth,metric,mean,paired_difference_from_full,paired_difference_ci95_low,paired_difference_ci95_high,primary_eligible,candidate_union_contains_full,membership_exact,ordered_exact,ordered_exact_ci95_low,ordered_exact_ci95_high,longest_exact_prefix,full_membership_recall,source_sha256
msmarco-passage-trec-dl-2019,43,fixed-L50,50,nDCG@10,0.6684190268978702,-0.012740777620841047,-0.03342780208609267,0.003373810724780393,1,0.9069767441860465,0.09302325581395349,0.09302325581395349,0.03677164063171276,0.21602703641253587,10.093023255813954,0.8046511627906977,86c5b9477db775c57ac001fbadc0c84f78d4f7b27cb4571f124b5554e034f678
msmarco-passage-trec-dl-2019,43,fixed-L50,50,MRR@10,0.9677002583979329,0.0,0.0,0.0,1,0.9069767441860465,0.09302325581395349,0.09302325581395349,0.03677164063171276,0.21602703641253587,10.093023255813954,0.8046511627906977,86c5b9477db775c57ac001fbadc0c84f78d4f7b27cb4571f124b5554e034f678
msmarco-passage-trec-dl-2019,43,fixed-L50,50,Recall@100,0.5148282935931833,-0.04965359991228315,-0.06335189461482844,-0.036344965734318384,0,0.9069767441860465,0.09302325581395349,0.09302325581395349,0.03677164063171276,0.21602703641253587,10.093023255813954,0.8046511627906977,86c5b9477db775c57ac001fbadc0c84f78d4f7b27cb4571f124b5554e034f678
msmarco-passage-trec-dl-2019,43,fixed-L100,100,nDCG@10,0.6729344445410075,-0.008225359977703763,-0.019126591224484964,0.0005996348555888783,1,1.0,0.4418604651162791,0.4418604651162791,0.30433309839170514,0.5889238554717591,14.046511627906977,0.8999999999999999,86c5b9477db775c57ac001fbadc0c84f78d4f7b27cb4571f124b5554e034f678
msmarco-passage-trec-dl-2019,43,fixed-L100,100,MRR@10,0.9677002583979329,0.0,0.0,0.0,1,1.0,0.4418604651162791,0.4418604651162791,0.30433309839170514,0.5889238554717591,14.046511627906977,0.8999999999999999,86c5b9477db775c57ac001fbadc0c84f78d4f7b27cb4571f124b5554e034f678
msmarco-passage-trec-dl-2019,43,fixed-L100,100,Recall@100,0.5467991040119052,-0.01768278949356115,-0.026794593963190425,-0.009286374782162835,1,1.0,0.4418604651162791,0.4418604651162791,0.30433309839170514,0.5889238554717591,14.046511627906977,0.8999999999999999,86c5b9477db775c57ac001fbadc0c84f78d4f7b27cb4571f124b5554e034f678
msmarco-passage-trec-dl-2019,43,fixed-L200,200,nDCG@10,0.6780034502422603,-0.0031563542764510193,-0.007883030995773492,0.0,1,1.0,0.5813953488372093,0.5813953488372093,0.4332857738696422,0.7161544907215082,16.511627906976745,0.9546511627906976,86c5b9477db775c57ac001fbadc0c84f78d4f7b27cb4571f124b5554e034f678
msmarco-passage-trec-dl-2019,43,fixed-L200,200,MRR@10,0.9677002583979329,0.0,0.0,0.0,1,1.0,0.5813953488372093,0.5813953488372093,0.4332857738696422,0.7161544907215082,16.511627906976745,0.9546511627906976,86c5b9477db775c57ac001fbadc0c84f78d4f7b27cb4571f124b5554e034f678
msmarco-passage-trec-dl-2019,43,fixed-L200,200,Recall@100,0.5548900901427416,-0.0095918033627247,-0.01700940752410989,-0.0027924648542301993,1,1.0,0.5813953488372093,0.5813953488372093,0.4332857738696422,0.7161544907215082,16.511627906976745,0.9546511627906976,86c5b9477db775c57ac001fbadc0c84f78d4f7b27cb4571f124b5554e034f678
msmarco-passage-trec-dl-2019,43,fixed-L500,500,nDCG@10,0.6807054741112377,-0.000454330407473559,-0.004010990224993178,0.0026479990025725006,1,1.0,0.813953488372093,0.7674418604651163,0.6225547970219101,0.8684632152061551,17.837209302325583,0.9848837209302326,86c5b9477db775c57ac001fbadc0c84f78d4f7b27cb4571f124b5554e034f678
msmarco-passage-trec-dl-2019,43,fixed-L500,500,MRR@10,0.9677002583979329,0.0,0.0,0.0,1,1.0,0.813953488372093,0.7674418604651163,0.6225547970219101,0.8684632152061551,17.837209302325583,0.9848837209302326,86c5b9477db775c57ac001fbadc0c84f78d4f7b27cb4571f124b5554e034f678
msmarco-passage-trec-dl-2019,43,fixed-L500,500,Recall@100,0.563126833896287,-0.001355059609179306,-0.004005236379177858,0.001119293277403996,1,1.0,0.813953488372093,0.7674418604651163,0.6225547970219101,0.8684632152061551,17.837209302325583,0.9848837209302326,86c5b9477db775c57ac001fbadc0c84f78d4f7b27cb4571f124b5554e034f678
msmarco-passage-trec-dl-2019,43,fixed-L1000,1000,nDCG@10,0.6808134483937153,-0.00034635612499595275,-0.0009178202397117138,0.0,1,1.0,0.8604651162790697,0.7906976744186046,0.6479435728926356,0.885771657790044,18.27906976744186,0.9930232558139536,86c5b9477db775c57ac001fbadc0c84f78d4f7b27cb4571f124b5554e034f678
msmarco-passage-trec-dl-2019,43,fixed-L1000,1000,MRR@10,0.9677002583979329,0.0,0.0,0.0,1,1.0,0.8604651162790697,0.7906976744186046,0.6479435728926356,0.885771657790044,18.27906976744186,0.9930232558139536,86c5b9477db775c57ac001fbadc0c84f78d4f7b27cb4571f124b5554e034f678
msmarco-passage-trec-dl-2019,43,fixed-L1000,1000,Recall@100,0.5643985368934312,-8.33566120351908e-05,-0.001034593002549375,0.000788057842797054,1,1.0,0.8604651162790697,0.7906976744186046,0.6479435728926356,0.885771657790044,18.27906976744186,0.9930232558139536,86c5b9477db775c57ac001fbadc0c84f78d4f7b27cb4571f124b5554e034f678
msmarco-passage-trec-dl-2019,43,fixed-L2000,2000,nDCG@10,0.6810385563834351,-0.00012124813527614445,-0.00036374440582843335,0.0,1,1.0,0.9069767441860465,0.8837209302325582,0.7552083818991787,0.9492957226019584,18.906976744186046,0.9953488372093022,86c5b9477db775c57ac001fbadc0c84f78d4f7b27cb4571f124b5554e034f678
msmarco-passage-trec-dl-2019,43,fixed-L2000,2000,MRR@10,0.9677002583979329,0.0,0.0,0.0,1,1.0,0.9069767441860465,0.8837209302325582,0.7552083818991787,0.9492957226019584,18.906976744186046,0.9953488372093022,86c5b9477db775c57ac001fbadc0c84f78d4f7b27cb4571f124b5554e034f678
msmarco-passage-trec-dl-2019,43,fixed-L2000,2000,Recall@100,0.5643145854914124,-0.00016730801405387343,-0.0005019240421616203,0.0,1,1.0,0.9069767441860465,0.8837209302325582,0.7552083818991787,0.9492957226019584,18.906976744186046,0.9953488372093022,86c5b9477db775c57ac001fbadc0c84f78d4f7b27cb4571f124b5554e034f678
msmarco-passage-trec-dl-2019,43,fixed-L5000,5000,nDCG@10,0.6811598045187113,0.0,0.0,0.0,1,1.0,0.9767441860465116,0.9534883720930233,0.8454450199593603,0.9871507399056197,19.511627906976745,0.9988372093023257,86c5b9477db775c57ac001fbadc0c84f78d4f7b27cb4571f124b5554e034f678
msmarco-passage-trec-dl-2019,43,fixed-L5000,5000,MRR@10,0.9677002583979329,0.0,0.0,0.0,1,1.0,0.9767441860465116,0.9534883720930233,0.8454450199593603,0.9871507399056197,19.511627906976745,0.9988372093023257,86c5b9477db775c57ac001fbadc0c84f78d4f7b27cb4571f124b5554e034f678
